operation,batch,mean_ns_per_operation,operations
unrelated_event,0,2.435315,200000
unrelated_event,1,2.720345,200000
unrelated_event,2,2.609665,200000
unrelated_event,3,2.682115,200000
unrelated_event,4,2.610005,200000
unrelated_event,5,2.516725,200000
unrelated_event,6,2.435255,200000
unrelated_event,7,2.635245,200000
unrelated_event,8,2.594870,200000
unrelated_event,9,2.749895,200000
unrelated_event,10,2.662280,200000
unrelated_event,11,2.609300,200000
unrelated_event,12,2.663595,200000
unrelated_event,13,2.611350,200000
unrelated_event,14,2.662000,200000
unrelated_event,15,2.611245,200000
unrelated_event,16,2.790280,200000
unrelated_event,17,2.435315,200000
unrelated_event,18,2.507140,200000
unrelated_event,19,2.435330,200000
unrelated_event,20,2.562010,200000
unrelated_event,21,2.612500,200000
unrelated_event,22,2.581255,200000
unrelated_event,23,2.435425,200000
unrelated_event,24,2.750710,200000
unrelated_event,25,2.613425,200000
unrelated_event,26,2.667245,200000
unrelated_event,27,2.623450,200000
unrelated_event,28,2.699060,200000
unrelated_event,29,2.435090,200000
unrelated_event,30,2.633320,200000
gesture_began_changed_feedback_ended,0,22.873270,200000
gesture_began_changed_feedback_ended,1,22.115895,200000
gesture_began_changed_feedback_ended,2,22.534875,200000
gesture_began_changed_feedback_ended,3,22.119770,200000
gesture_began_changed_feedback_ended,4,22.427410,200000
gesture_began_changed_feedback_ended,5,22.256715,200000
gesture_began_changed_feedback_ended,6,21.759075,200000
gesture_began_changed_feedback_ended,7,22.347425,200000
gesture_began_changed_feedback_ended,8,23.332800,200000
gesture_began_changed_feedback_ended,9,22.780715,200000
gesture_began_changed_feedback_ended,10,22.460880,200000
gesture_began_changed_feedback_ended,11,22.200085,200000
gesture_began_changed_feedback_ended,12,22.433715,200000
gesture_began_changed_feedback_ended,13,22.490640,200000
gesture_began_changed_feedback_ended,14,21.794195,200000
gesture_began_changed_feedback_ended,15,22.452185,200000
gesture_began_changed_feedback_ended,16,22.508935,200000
gesture_began_changed_feedback_ended,17,23.051900,200000
gesture_began_changed_feedback_ended,18,22.408495,200000
gesture_began_changed_feedback_ended,19,23.093985,200000
gesture_began_changed_feedback_ended,20,23.125945,200000
gesture_began_changed_feedback_ended,21,23.536700,200000
gesture_began_changed_feedback_ended,22,22.135985,200000
gesture_began_changed_feedback_ended,23,22.403480,200000
gesture_began_changed_feedback_ended,24,22.152810,200000
gesture_began_changed_feedback_ended,25,21.748045,200000
gesture_began_changed_feedback_ended,26,23.666340,200000
gesture_began_changed_feedback_ended,27,22.641090,200000
gesture_began_changed_feedback_ended,28,22.972075,200000
gesture_began_changed_feedback_ended,29,22.273265,200000
gesture_began_changed_feedback_ended,30,22.570850,200000
iohid_96_byte_encode,0,23.317795,200000
iohid_96_byte_encode,1,23.229195,200000
iohid_96_byte_encode,2,23.386150,200000
iohid_96_byte_encode,3,23.811190,200000
iohid_96_byte_encode,4,24.151980,200000
iohid_96_byte_encode,5,24.943790,200000
iohid_96_byte_encode,6,23.308860,200000
iohid_96_byte_encode,7,27.239440,200000
iohid_96_byte_encode,8,23.675645,200000
iohid_96_byte_encode,9,23.601950,200000
iohid_96_byte_encode,10,24.626095,200000
iohid_96_byte_encode,11,23.236960,200000
iohid_96_byte_encode,12,24.681590,200000
iohid_96_byte_encode,13,24.329920,200000
iohid_96_byte_encode,14,23.543455,200000
iohid_96_byte_encode,15,23.565050,200000
iohid_96_byte_encode,16,23.345975,200000
iohid_96_byte_encode,17,23.260310,200000
iohid_96_byte_encode,18,23.278430,200000
iohid_96_byte_encode,19,23.316210,200000
iohid_96_byte_encode,20,33.078475,200000
iohid_96_byte_encode,21,23.742290,200000
iohid_96_byte_encode,22,24.898170,200000
iohid_96_byte_encode,23,23.640635,200000
iohid_96_byte_encode,24,23.296875,200000
iohid_96_byte_encode,25,24.664415,200000
iohid_96_byte_encode,26,25.055650,200000
iohid_96_byte_encode,27,27.407070,200000
iohid_96_byte_encode,28,24.601400,200000
iohid_96_byte_encode,29,23.686625,200000
iohid_96_byte_encode,30,23.234780,200000
